Experiment cluster 
***********************
MOVIE :The Chronicles of Narnia: The Voyage of the Dawn Treader
CLUSTER :48
Evaluation CLUSTERING: 
p20 : 0.0
p50 : 0.0
p100 : 0.0
r20 : 0.0
r50 : 0.0
r100 : 0.0
f20 : 0
f50 : 0
f100 : 0
Evaluation RANKING: 
p20 : 0.0
p50 : 0.0
p100 : 0.0
r20 : 0.0
r50 : 0.0
r100 : 0.0
f20 : 0
f50 : 0
f100 : 0
Jim Cummings : 18
Johnny Depp : 14
Jack Elam : 14
Ralph Fiennes : 13
Frank Welker : 13
Stanley Tucci : 13
John Wayne : 13
Steve Buscemi : 12
Adam Sandler : 12
James Stewart : 12
James Franco : 11
Owen Wilson : 11
Elvis Presley : 11
Daniel Radcliffe : 10
Tom Hanks : 10
Robin Williams : 10
Julie Andrews : 10
John C. Reilly : 10
Liam Neeson : 10
Michael Caine : 10
John Cleese : 10
Dee Bradley Baker : 10
Fred Astaire : 10
J.K. Simmons : 9
David Thewlis : 9
Stellan Skarsgård : 9
Dave Goelz : 9
Antonio Banderas : 9
Jeffrey Tambor : 9
Amy Adams : 9
Holland Taylor : 9
Michelle Pfeiffer : 9
Julia Roberts : 9
Alec Baldwin : 9
Jude Law : 9
Kate Winslet : 9
Henry Fonda : 9
Julie Walters : 8
Hugh Jackman : 8
Nicole Kidman : 8
Samuel L. Jackson : 8
Matthew Lillard : 8
Naomi Watts : 8
Jack Black : 8
John Goodman : 8
Ian McShane : 8
Alfred Molina : 8
Clancy Brown : 8
Will Arnett : 8
Cameron Diaz : 8
Christian Bale : 8
Jason Flemyng : 8
Keira Knightley : 8
Donald Sutherland : 8
Danny DeVito : 8
Emma Thompson : 8
Willem Dafoe : 8
Domhnall Gleeson : 8
Mark Strong : 8
Nicolas Cage : 8
Helen Mirren : 8
Patrick Stewart : 8
Michael Gambon : 8
Cate Blanchett : 8
Mila Kunis : 8
David Spade : 8
Martin Short : 8
John Fiedler : 8
James Remar : 8
Jeff Bennett : 8
Tom Wilkinson : 8
Angelina Jolie : 8
Patrick Wilson : 8
Ward Bond : 8
Harry Morgan : 8
Richard Griffiths : 7
Fiona Shaw : 7
Bill Nighy : 7
Helena Bonham Carter : 7
Rufus Sewell : 7
Kristin Scott Thomas : 7
Corey Burton : 7
Jim Carrey : 7
Jason Schwartzman : 7
Andy Serkis : 7
Steve Carell : 7
Scarlett Johansson : 7
Maya Rudolph : 7
Jonah Hill : 7
Will Ferrell : 7
Elizabeth Banks : 7
Sam Claflin : 7
Geoffrey Rush : 7
Mike Myers : 7
Brendan Gleeson : 7
Arnold Schwarzenegger : 7
Mako : 7
Richard Harris : 7
Emily Blunt : 7
