Experiment cluster 
***********************
MOVIE :The Chronicles of Narnia: The Voyage of the Dawn Treader
CLUSTER :29
Evaluation CLUSTERING: 
p20 : 0.0
p50 : 0.0
p100 : 0.0
r20 : 0.0
r50 : 0.0
r100 : 0.0
f20 : 0
f50 : 0
f100 : 0
Evaluation RANKING: 
p20 : 0.0
p50 : 0.0
p100 : 0.0
r20 : 0.0
r50 : 0.0
r100 : 0.0
f20 : 0
f50 : 0
f100 : 0
Frank Welker : 9
Jim Cummings : 8
Corey Burton : 6
Ian McShane : 5
John Cleese : 5
Warwick Davis : 5
Robin Williams : 4
Mark Strong : 4
Zachary Levi : 4
Cloris Leachman : 4
Cary Elwes : 4
Eric Idle : 4
Rob Paulsen : 4
Dee Bradley Baker : 4
Tim Curry : 4
Willem Dafoe : 3
Geoffrey Rush : 3
Brad Garrett : 3
Matthew Lillard : 3
Christopher Mintz-Plasse : 3
Kristen Wiig : 3
Robin Atkin Downes : 3
John Goodman : 3
Tara Strong : 3
Eddie Murphy : 3
Mike Myers : 3
Cameron Diaz : 3
Liam Neeson : 3
Ralph Fiennes : 3
Jeffrey Tambor : 3
Ian McKellen : 3
Mandy Moore : 3
Clancy Brown : 3
Stanley Tucci : 3
Anne Hathaway : 3
Helen Mirren : 3
Patrick Stewart : 3
Angelina Jolie : 3
Lucy Liu : 3
Nicolas Cage : 3
Robin Wright : 3
Dom DeLuise : 3
Martin Short : 3
Djimon Hounsou : 3
Jeff Bennett : 3
Kathleen Barr : 3
Douglas Seale : 2
Linda Larkin : 2
Jennifer Darling : 2
Charlie Adler : 2
Gilbert Gottfried : 2
Debi Derryberry : 2
Philip L. Clarke : 2
Scott Weinger : 2
Allison Janney : 2
Jonah Hill : 2
America Ferrera : 2
Kieron Elliott : 2
Jay Baruchel : 2
Craig Ferguson : 2
Gerard Butler : 2
Keith David : 2
John DiMaggio : 2
Minnie Driver : 2
Greg Ellis : 2
Astrid Bergès-Frisbey : 2
Richard Griffiths : 2
Stephen Graham : 2
Johnny Depp : 2
Christopher Knights : 2
Vincent Cassel : 2
Kathleen Freeman : 2
Cody Cameron : 2
Yô Ôizumi : 2
Emily Mortimer : 2
Liam Cunningham : 2
Gemma Arterton : 2
Patricia Hayes : 2
Brian Henson : 2
Arnold Schwarzenegger : 2
Mako : 2
Ólafur Darri Ólafsson : 2
Elijah Wood : 2
Justin Timberlake : 2
James Corden : 2
Bryan Cranston : 2
Thomas Haden Church : 2
Christopher Lee : 2
Jim Carter : 2
Paul F. Tompkins : 2
Eden Espinosa : 2
George MacKay : 2
Richard Briers : 2
Octavia Spencer : 2
Gabriel Byrne : 2
Nicol Williamson : 2
Dan Fogler : 2
Jude Law : 2
James Hong : 2
Seth Rogen : 2
+++++++++++++++++++++++++++++++++++++++++
 RANKING ACTORS 
Samuel L. Jackson : 1
Steve Buscemi : 1
Jim Cummings : 1
Tom Hanks : 1
Johnny Depp : 1
Nicolas Cage : 1
Scarlett Johansson : 1
Willem Dafoe : 1
Ed Harris : 1
Woody Harrelson : 1
Frank Welker : 1
Christopher Plummer : 1
Robert De Niro : 1
Michael Caine : 1
Laurence Fishburne : 1
Matt Damon : 1
Liam Neeson : 1
Jason Statham : 1
Will Smith : 1
Angelina Jolie : 1
John Malkovich : 1
Brad Pitt : 1
Arnold Schwarzenegger : 1
Kurt Russell : 1
Stanley Tucci : 1
Gary Oldman : 1
Bill Hader : 1
Dwayne Johnson : 1
Robert Duvall : 1
Keith David : 1
Jeff Bennett : 1
Michael Peña : 1
Jonah Hill : 1
Ryan Reynolds : 1
Adam Sandler : 1
Donald Sutherland : 1
Mark Wahlberg : 1
Danny Glover : 1
Vin Diesel : 1
John Goodman : 1
Harrison Ford : 1
Ron Perlman : 1
Patrick Stewart : 1
John Wayne : 1
Danny Trejo : 1
Tom Cruise : 1
Sigourney Weaver : 1
Keanu Reeves : 1
Alec Baldwin : 1
Alan Tudyk : 1
Rob Paulsen : 1
Matthew McConaughey : 1
Sandra Bullock : 1
Gerard Butler : 1
John Cleese : 1
Jeffrey Tambor : 1
Ralph Fiennes : 1
Ben Stiller : 1
Harvey Keitel : 1
Bill Murray : 1
Nicole Kidman : 1
Sean Connery : 1
Robin Williams : 1
Jude Law : 1
Alfred Molina : 1
J.K. Simmons : 1
Patrick Wilson : 1
Mark Strong : 1
Ben Affleck : 1
Antonio Banderas : 1
Julianne Moore : 1
Andy Serkis : 1
Seth Rogen : 1
Richard Jenkins : 1
Sam Neill : 1
Dee Bradley Baker : 1
Owen Wilson : 1
Eddie Marsan : 1
James Stewart : 1
Bill Nighy : 1
Ian McShane : 1
Denzel Washington : 1
Michelle Rodriguez : 1
James Remar : 1
Eddie Murphy : 1
John Cusack : 1
Idris Elba : 1
Karl Urban : 1
John Leguizamo : 1
Pierce Brosnan : 1
Charlize Theron : 1
Bruce Willis : 1
Meryl Streep : 1
John C. Reilly : 1
Stellan Skarsgård : 1
James Franco : 1
Timothy Olyphant : 1
Cameron Diaz : 1
Shea Whigham : 1
Tommy Lee Jones : 1
+++++++++++++++++++++++++++++++++++++++++
***********************
MOVIE :Things to Come
CLUSTER :31
Evaluation CLUSTERING: 
p20 : 0.0
p50 : 0.0
p100 : 0.0
r20 : 0.0
r50 : 0.0
r100 : 0.0
f20 : 0
f50 : 0
f100 : 0
Evaluation RANKING: 
p20 : 0.0
p50 : 0.0
p100 : 0.0
r20 : 0.0
r50 : 0.0
r100 : 0.0
f20 : 0
f50 : 0
f100 : 0
Desmond Llewelyn : 11
Samuel L. Jackson : 11
Sean Connery : 9
Vin Diesel : 8
Chris Evans : 8
Zoe Saldana : 8
Ed Harris : 8
Lois Maxwell : 8
Dwayne Johnson : 7
Gary Oldman : 7
Jeff Goldblum : 7
Sigourney Weaver : 7
Zoë Kravitz : 7
Patrick Stewart : 7
Tom Hanks : 6
Kurt Russell : 6
Michelle Rodriguez : 6
Tyrese Gibson : 6
Andy Serkis : 6
Will Smith : 6
Anthony Mackie : 6
Bill Hader : 6
Chris Pratt : 6
Karl Urban : 6
Glenn Morshower : 6
Bernard Lee : 6
T.J. Miller : 6
Laurence Fishburne : 6
James Cromwell : 6
Lance Henriksen : 6
Leonard Nimoy : 6
Milla Jovovich : 6
Arnold Schwarzenegger : 6
Hugh Jackman : 5
Colin Salmon : 5
John Ortiz : 5
Elizabeth Banks : 5
Will Arnett : 5
Clancy Brown : 5
Stellan Skarsgård : 5
Ryan Reynolds : 5
Sam Neill : 5
John Cho : 5
Djimon Hounsou : 5
Keith David : 5
Brent Spiner : 5
Josh Brolin : 5
Michael Dorn : 5
Ron Perlman : 5
Harrison Ford : 5
Alan Tudyk : 5
Dee Bradley Baker : 5
JB Blanc : 5
Toby Jones : 5
Roger Moore : 5
Scarlett Johansson : 5
Robert Downey Jr. : 5
Pierce Brosnan : 4
Ludacris : 4
Temuera Morrison : 4
Tony Shalhoub : 4
Judy Greer : 4
Michael Peña : 4
Woody Harrelson : 4
Maya Rudolph : 4
Charlie Day : 4
Michael Fassbender : 4
Jason Flemyng : 4
James McAvoy : 4
Timothy Olyphant : 4
Emma Thompson : 4
Bruce Greenwood : 4
Anton Yelchin : 4
Simon Pegg : 4
Owen Wilson : 4
Steve Buscemi : 4
William Fichtner : 4
Willem Dafoe : 4
Omar Sy : 4
Dylan O'Brien : 4
Barry Pepper : 4
